Date,DF1,DF2,DF3,CM1,CM2,CM3(TBD)
01-01,,,,,,-
02-01,,,,,,-
03-01,,,,,,-
04-01,,,,,,-
05-01,,,,,,-
06-01,,,,,,-
07-01,,,,,,-
08-01,,,,,,-
09-01,,,,,,-
10-01,,,,,,-
11-01,,,,,,-
12-01,,,,,,-
13-01,,,,,,-
14-01,,,,,,-
15-01,,,,,,-
16-01,,,,,,-
17-01,,,,,,-
18-01,,,,,,-
19-01,,,,,,-
20-01,,,,,,-
21-01,,,,,,-
22-01,,,,,,-
23-01,,,,,,-
24-01,,,,,,-
25-01,,,,,,-
26-01,,,,,,-
27-01,,,,,,-
28-01,,,,,,-
29-01,,,,,,-
30-01,,,,,,-
31-01,,,,,,-
01-02,,,,,,-
02-02,,,,,,-
03-02,,,,,,-
04-02,,,,,,-
05-02,,,,,,-
06-02,,,,,,-
07-02,,,,,,-
08-02,,,,,,-
09-02,,,,,,-
10-02,,,,,,-
11-02,,,,,,-
12-02,,,,,,-
13-02,,,,,,-
14-02,,,,,,-
15-02,,,,,,-
16-02,,,,,,-
17-02,,,,,,-
18-02,,,,,,-
19-02,,,,,,-
20-02,,,,,,-
21-02,,,,,,-
22-02,,,,,,-
23-02,,,,,,-
24-02,,,,,,-
25-02,,,,,,-
26-02,,,,,,-
27-02,,,,,,-
28-02,,,,,,-
29-02,,,,,,-
01-03,,,,,,-
02-03,,,,,,-
03-03,,,,,,-
04-03,,,,,,-
05-03,,,,,,-
06-03,,,,,,-
07-03,,,,,,-
08-03,,,,,,-
09-03,,,,,,-
10-03,,,,,,-
11-03,,,,,,-
12-03,,,,,,-
13-03,,,,,,-
14-03,,,,,,-
15-03,,,,,,-
16-03,,,,,,-
17-03,,,,,,-
18-03,,,,,,-
19-03,,,,,,-
20-03,,,,,,-
21-03,,,,,,-
22-03,,,,,,-
23-03,,,,,,-
24-03,,,,,,-
25-03,,,,,,-
26-03,,,,,,-
27-03,,,,,,-
28-03,,,,,,-
29-03,,,,,,-
30-03,,,,,,-
31-03,,,,,,-
01-04,,,,,,-
02-04,,,,,,-
03-04,,,,,,-
04-04,,,,,,-
05-04,,,,,,-
06-04,,,,,,-
07-04,,,,,,-
08-04,,,,,,-
09-04,,,,,,-
10-04,,,,,,-
11-04,,,,,,-
12-04,,,,,,-
13-04,,,,,,-
14-04,,,,,,-
15-04,,,,,,-
16-04,,,,,,-
17-04,,,,,,-
18-04,,,,,,-
19-04,,,,,,-
20-04,,,,,,-
21-04,,,,,,-
22-04,,,,,,-
23-04,,,,,,-
24-04,,,,,,-
25-04,,,,,,-
26-04,,,,,,-
27-04,,,,,,-
28-04,,,,,,-
29-04,,,,,,-
30-04,,,,,,-
01-05,,,,,,-
02-05,,,,,,-
03-05,,,,,,-
04-05,,,,,,-
05-05,,,,,,-
06-05,,,,,,-
07-05,,,,,,-
08-05,,,,,,-
09-05,,,,,,-
10-05,,,,,,-
11-05,,,,,,-
12-05,,,,,,-
13-05,,,,,,-
14-05,,,,,,-
15-05,,,,,,-
16-05,,,,,,-
17-05,,,,,,-
18-05,,,,,,-
19-05,,,,,,-
20-05,,,,,,-
21-05,,,,,,-
22-05,,,,,,-
23-05,,,,,,-
24-05,,,,,,-
25-05,,,,,,-
26-05,,,,,,-
27-05,,,,,,-
28-05,,,,,,-
29-05,,,,,,-
30-05,,,,,,-
31-05,,,,,,-
01-06,,,,,,-
02-06,,,,,,-
03-06,,,,,,-
04-06,,,,,,-
05-06,,,,,,-
06-06,,,,,,-
07-06,,,,,,-
08-06,,,,,,-
09-06,,,,,,-
10-06,,,,,,-
11-06,,,,,,-
12-06,,,,,,-
13-06,,,,,,-
14-06,,,,,,-
15-06,,,,,,-
16-06,,,,,,-
17-06,,,,,,-
18-06,,,,,,-
19-06,,,,,,-
20-06,,,,,,-
21-06,,,,,,-
22-06,,,,,,-
23-06,,,,,,-
24-06,,,,,,-
25-06,,,,,,-
26-06,,,,,,-
27-06,,,,,,-
28-06,,,,,,-
29-06,,,,,,-
30-06,,,,,,-
01-07,,,,,,-
02-07,,,,,,-
03-07,,,,,,-
04-07,,,,,,-
05-07,,,,,,-
06-07,,,,,,-
07-07,,,,,,-
08-07,,,,,,-
09-07,,,,,,-
10-07,,,,,,-
11-07,,,,,,-
12-07,,,,,,-
13-07,,,,,,-
14-07,,,,,,-
15-07,,,,,,-
16-07,,,,,,-
17-07,,,,,,-
18-07,,,,,,-
19-07,,,,,,-
20-07,,,,,,-
21-07,,,,,,-
22-07,,,,,,-
23-07,,,,,,-
24-07,,,,,,-
25-07,,,,,,-
26-07,,,,,,-
27-07,,,,,,-
28-07,,,,,,-
29-07,,,,,,-
30-07,,,,,,-
31-07,,,,,,-
01-08,"R,4,1,7","F,3,10,7","C,9,17,7","I,3,17,12","J,10,15,5",-
02-08,"L,10,7,3/L,7,14,8","M,17,12,5",I,"I,17,8,7","J,10,2,1",-
03-08,"D,8,12,11/D2,14,10","Q,9,11,13/Q10,6,9","S,6,5,14","I,3,8,16","J,3,2,8",-
04-08,"K,3,5,12","H,7,1,16","F,7,16,10","I,17,10,6","J,6,11,7",-
05-08,"G,12,2,4","P,2,5,3","R,1,6,4","I,10,2,6","J,10,2,8",-
06-08,"T,17,9,4","N,9,1,11/N,17,11,12",J,"I,10,4,3","J,3,4,16",-
07-08,"L,2,16,3/L,12,15,8","O,1,11,2","B,3,2,16","I,17,7,6","J,8,17,15",-
08-08,"M,5,6,9","R,9,11,16","S,16,5,13","I,10,4,7","J,15,16,6",-
09-08,"A,16,14,10","D,7,9,11/D,3,16,8",I,"I,16,7,11","J,15,5,2",-
10-08,"E,1,8,9/E,8,14,6","G,17,7,1","K,7,14,1","I,3,8,1","J,4,16,1",-
11-08,"N,11,7,9/N,12,11,2","M,4,3,9","F,1,17,10","I,16,1,5","J,17,8,5",-
12-08,"C,15,11,1",J,"G,1,14,12","I,8,3,4","J,17,2,6",-
13-08,I,"L,14,3,6/L,9,5,2","T,8,1,14","I,14,16,15","J,7,11,2",-
14-08,"A,9,12,8","Q,17,9,15/Q,12,15,1","O,11,12,13","I,8,7,14","J,16,7,5",-
15-08,"P,14,2,3","E,3,11,14/E,10,14,7","D,14,12,13/D,12,11,8","I,14,6,11","J,15,4,1",-
16-08,"R,12,17,6","F,14,11,2","C,1,10,4","I,2,14,1","J,17,15,5",-
17-08,"L,15,11,6/L,2,1,12","M,6,1,13",I,"I,12,15,5","J,10,15,1",-
18-08,"D,5,17,13/D,9,6,2","Q,14,2,9/Q,5,8,3","S,5,9,14","I,2,4,11","J,3,11,15",-
19-08,"K,10,12,7","H,2,9,5","F,6,16,2","I,12,15,14","J,17,11,7",-
20-08,"G,13,9,7","P,11,3,6","R,17,4,7","I,4,11,2","J,7,6,10",-
21-08,"T,6,12,1","N,4,16,12/N,8,4,6",J,"I,15,17,16","J,8,3,16",-
22-08,"L,11,4,16/L,16,12,4","O,9,11,12","B,2,10,16","I,4,8,5","J,8,11,6",-
23-08,"M,9,8,13","R,16,1,17","S,2,17,3","I,15,17,6","J,3,7,6",-
24-08,"A,7,1,2","D,2,13,15/D,4,7,2",I,"I,10,8,1","J,15,16,10",-
25-08,"E,16,4,10/D,7,9,14","G,8,17,7","K,14,5,17","I,5,14,2","J,4,2,6",-
26-08,"N,7,5,14/N,11,1,7","M,10,12,15","F,17,13,1","I,1,10,2","J,17,8,15",-
27-08,"C,9,4,2",J,"G,10,1,7","I,5,16,2","J,4,2,6",-
28-08,I,"L,6,10,16/L,5,7,4","T,11,8,7","I,7,4,8","J,17,2,7",-
29-08,"A,15,6,2","Q,6,17,1/Q,13,16,14","O,13,1,17","I,11,6,7","J,4,16,5",-
30-08,"P,6,13,16","E,17,1,13/E,3,8,4","D,15,6,12/D,16,4,14","I,4,10,7","J,4,2,1",-
31-08,"R,8,5,14","F,2,3,1","C,15,1,3","I,3,7,11","J,15,1,5",-
01-09,"L,17,11,12/L,15,1,14","M,2,1,10",I,"I,11,7,3","J,15,1,5",-,,,,,,
02-09,"D,15,16,12/D,16,6,4","Q,9,14,16/Q,10,17,12","S,14,1,4","I,3,15,17","J,10,5,1",-,,,,,,
03-09,"K,12,14,3","H,8,9,15","F,11,16,1","I,17,1,7","J,3,17,16",-,,,,,,
04-09,"G,6,9,3","P,12,7,16","R,4,9,1","I,3,15,11","J,11,4,17",-,,,,,,
05-09,"T,3,7,12","N,2,15,6/N,15,16,2",J,"I,17,16,1","J,7,15,5",-,,,,,,
06-09,"L,9,2,17/L,4,6,1","O,1,12,11","B,3,1,14","I,6,14,10","J,16,11,1",-,,,,,,
07-09,"M,17,8,15","R,5,2,8","S,5,1,11","I,17,6,3","J,8,5,11",-,,,,,,
08-09,"A,10,1,4","D,12,13,16/D,2,7,1",I,"I,6,14,17","J,6,10,7",-,,,,,,
09-09,"E,13,6,14/E,4,12,11","G,16,11,3","K,1,5,16","I,10,12,7","J,10,3,15",-,,,,,,
10-09,"N,4,9,7/N,8,16,11","M,15,10,8","F,1,10,3","I,16,15,11","J,4,10,3",-,,,,,,
11-09,"C,14,6,5",J,"G,9,1,6","I,10,12,1","J,17,11,8",-,,,,,,
12-09,I,"L,2,10,5/L,6,7,14","T,12,15,10","I,16,11,5","J,2,8,6",-,,,,,,
13-09,"A,3,6,4","Q,17,1,9/Q,14,2,3","O,11,14,16","I,8,17,4","J,16,6,10",-,,,,,,
14-09,"P,2,13,17","E,16,13,4/E,7,4,13","D,7,6,16/D,3,2,1","I,14,5,15","J,5,3,17",-,,,,,,
15-09,"R,11,1,16","F,17,11,3","C,6,13,8","I,8,17,2","J,1,10,8",-,,,,,,
16-09,"L,3,17,5/L,12,9,7","M,4,9,2",I,"I,14,10,11","J,15,2,6",-,,,,,,
17-09,"D,6,3,17/D,11,8,1","Q,14,11,5/Q,12,6,14","S,9,13,3","I,2,15,1","J,10,16,2",-,,,,,,
18-09,"K,16,10,7","H,9,13,12","F,3,16,6","I,12,10,5","J,3,6,16",-,,,,,,
19-09,"G,1,3,6","P,16,10,5","R,12,6,3","I,2,15,4","J,11,17,4",-,,,,,,
20-09,"T,4,10,6","N,6,10,5/N,2,5,7",J,"I,12,4,14","J,7,4,5",-,,,,,,
21-09,"L,5,13,14/L10,8,7","O,9,1,3","B,2,14,3","I,4,8,2","J,16,17,1",-,,,,,,
22-09,"M,6,14,2","R,16,8,11","S,11,13,1","I,15,4,16","J,8,16,11",-,,,,,,
23-09,"A,9,11,1","D,5,4,17/D,9,12,7",I,"I,4,7,8","J,6,5,7",-,,,,,,
24-09,"E,5,17,13/E,13,3,4","G,14,12,13","K,12,14,17","I,15,3,6","J,10,1,5",-,,,,,,
25-09,"N,16,2,4/N,1,15,9","M,16,17,2","F,17,13,6","I,1,15,10","J,4,15,1",-,,,,,,
26-09,"C,8,17,10",J,"G,14,15,13","I,5,3,12","J,17,15,11",-,,,,,,
27-09,I,"L,11,14,13/L,16,11,3","T,16,12,13","I,1,6,2","J,2,11,7",-,,,,,,
28-09,"A,4,8,7","Q,6,9,8/Q,11,15,17","O,13,12,5","I,5,14,16","J,16,7,10",-,,,,,,
29-09,"P,11,3,13","E,9,5,3/E,14,6,10","D,2,8,5/D,4,14,7","I,7,6,8","J,5,1,3",-,,,,,,
30-09,"R,14,17,9","F,10,17,13","C,14,5,11","I,5,14,6","J,1,3,8",-,,,,,,
01-10,,,,,,-
02-10,,,,,,-
03-10,,,,,,-
04-10,,,,,,-
05-10,,,,,,-
06-10,,,,,,-
07-10,,,,,,-
08-10,,,,,,-
09-10,,,,,,-
10-10,,,,,,-
11-10,,,,,,-
12-10,,,,,,-
13-10,,,,,,-
14-10,,,,,,-
15-10,,,,,,-
16-10,,,,,,-
17-10,,,,,,-
18-10,,,,,,-
19-10,,,,,,-
20-10,,,,,,-
21-10,,,,,,-
22-10,,,,,,-
23-10,,,,,,-
24-10,,,,,,-
25-10,,,,,,-
26-10,,,,,,-
27-10,,,,,,-
28-10,,,,,,-
29-10,,,,,,-
30-10,,,,,,-
31-10,,,,,,-
01-11,,,,,,-
02-11,,,,,,-
03-11,,,,,,-
04-11,,,,,,-
05-11,,,,,,-
06-11,,,,,,-
07-11,,,,,,-
08-11,,,,,,-
09-11,,,,,,-
10-11,,,,,,-
11-11,,,,,,-
12-11,,,,,,-
13-11,,,,,,-
14-11,,,,,,-
15-11,,,,,,-
16-11,,,,,,-
17-11,,,,,,-
18-11,,,,,,-
19-11,,,,,,-
20-11,,,,,,-
21-11,,,,,,-
22-11,,,,,,-
23-11,,,,,,-
24-11,,,,,,-
25-11,,,,,,-
26-11,,,,,,-
27-11,,,,,,-
28-11,,,,,,-
29-11,,,,,,-
30-11,,,,,,-
01-12,,,,,,-
02-12,,,,,,-
03-12,,,,,,-
04-12,,,,,,-
05-12,,,,,,-
06-12,,,,,,-
07-12,,,,,,-
08-12,,,,,,-
09-12,,,,,,-
10-12,,,,,,-
11-12,,,,,,-
12-12,,,,,,-
13-12,,,,,,-
14-12,,,,,,-
15-12,,,,,,-
16-12,,,,,,-
17-12,,,,,,-
18-12,,,,,,-
19-12,,,,,,-
20-12,,,,,,-
21-12,,,,,,-
22-12,,,,,,-
23-12,,,,,,-
24-12,,,,,,-
25-12,,,,,,-
26-12,,,,,,-
27-12,,,,,,-
28-12,,,,,,-
29-12,,,,,,-
30-12,,,,,,-
31-12,,,,,,-